time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,13,7,6,5
2026-06-15 00:00:00+00:00,44,12,2,2
2026-06-16 00:00:00+00:00,10,5,6,6
2026-06-17 00:00:00+00:00,13,6,6,5
2026-06-18 00:00:00+00:00,6,1,5,3
2026-06-19 00:00:00+00:00,24,8,3,3
2026-06-20 00:00:00+00:00,27,9,3,2
2026-06-21 00:00:00+00:00,34,11,4,3
2026-06-22 00:00:00+00:00,13,3,12,2
2026-06-23 00:00:00+00:00,37,11,2,1
2026-06-24 00:00:00+00:00,12,7,3,3
2026-06-25 00:00:00+00:00,31,15,2,2
2026-06-26 00:00:00+00:00,1,1,4,2
2026-06-27 00:00:00+00:00,15,6,5,3
