time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-24 00:00:00+00:00,1.0,1.0,1,1
2025-05-25 00:00:00+00:00,14.0,11.0,103,3
2025-05-26 00:00:00+00:00,,,8,5
2025-05-27 00:00:00+00:00,1.0,1.0,16,2
2025-05-28 00:00:00+00:00,3.0,3.0,47,4
2025-05-29 00:00:00+00:00,23.0,6.0,64,4
2025-05-30 00:00:00+00:00,,,7,1
2025-05-31 00:00:00+00:00,20.0,15.0,102,4
2025-06-01 00:00:00+00:00,7.0,6.0,52,3
2025-06-02 00:00:00+00:00,6.0,6.0,57,4
2025-06-03 00:00:00+00:00,3.0,3.0,26,7
2025-06-04 00:00:00+00:00,,,4,1
2025-06-05 00:00:00+00:00,3.0,3.0,15,4
2025-06-06 00:00:00+00:00,49.0,23.0,129,2
