time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-17 00:00:00+00:00,16,11,15,3
2026-01-18 00:00:00+00:00,196,68,119,5
2026-01-19 00:00:00+00:00,8,7,4,4
2026-01-20 00:00:00+00:00,19,11,15,5
2026-01-21 00:00:00+00:00,18,9,12,8
2026-01-22 00:00:00+00:00,2,2,13,9
2026-01-23 00:00:00+00:00,16,7,1,1
2026-01-24 00:00:00+00:00,2,2,3,3
2026-01-25 00:00:00+00:00,15,7,1,1
2026-01-26 00:00:00+00:00,3,3,2,2
2026-01-27 00:00:00+00:00,20,10,5,3
2026-01-28 00:00:00+00:00,2,2,8,7
2026-01-29 00:00:00+00:00,18,9,3,3
2026-01-30 00:00:00+00:00,36,18,34,5
