time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-29 00:00:00+00:00,18,9,3,3
2026-01-30 00:00:00+00:00,36,18,34,5
2026-01-31 00:00:00+00:00,29,12,14,4
2026-02-01 00:00:00+00:00,24,11,17,5
2026-02-02 00:00:00+00:00,3,3,9,4
2026-02-03 00:00:00+00:00,17,7,21,10
2026-02-04 00:00:00+00:00,0,0,19,5
2026-02-05 00:00:00+00:00,17,8,15,5
2026-02-06 00:00:00+00:00,4,4,18,5
2026-02-07 00:00:00+00:00,17,8,25,5
2026-02-08 00:00:00+00:00,0,0,7,5
2026-02-09 00:00:00+00:00,23,10,9,5
2026-02-10 00:00:00+00:00,32,20,57,10
2026-02-11 00:00:00+00:00,13,8,24,9
