time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-04 00:00:00+00:00,4,4,4,2
2026-03-05 00:00:00+00:00,22,7,14,6
2026-03-06 00:00:00+00:00,1,1,2,2
2026-03-07 00:00:00+00:00,9,4,6,2
2026-03-08 00:00:00+00:00,1,1,1,1
2026-03-09 00:00:00+00:00,11,6,9,7
2026-03-10 00:00:00+00:00,0,0,4,3
2026-03-11 00:00:00+00:00,20,5,6,4
2026-03-12 00:00:00+00:00,3,3,4,3
2026-03-13 00:00:00+00:00,15,6,30,7
2026-03-14 00:00:00+00:00,2,2,5,4
2026-03-15 00:00:00+00:00,14,5,3,3
2026-03-16 00:00:00+00:00,5,5,12,4
2026-03-17 00:00:00+00:00,24,7,8,3
